		Dry-bulb temperature (°C)
		
Date	Time	KEW.FWT
	19:00	1.90
	20:00	1.90
	21:00	2.00
	22:00	1.90
	23:00	2.00
Tue, 04/Feb	24:00	2.00
	01:00	2.10
	02:00	2.10
	03:00	2.30
	04:00	2.80
	05:00	2.90
	06:00	3.10
	07:00	3.20
	08:00	3.50
	09:00	4.40
	10:00	4.00
	11:00	4.80
	12:00	5.10
	13:00	5.20
	14:00	5.70
	15:00	6.20
	16:00	6.00
	17:00	6.10
	18:00	6.20
	19:00	6.00
	20:00	6.00
	21:00	5.80
	22:00	5.70
	23:00	5.70
Wed, 05/Feb	24:00	5.50
	01:00	5.20
	02:00	5.00
	03:00	4.90
	04:00	5.00
	05:00	5.10
	06:00	5.70
	07:00	5.80
	08:00	6.00
	09:00	6.70
	10:00	7.10
	11:00	7.50
	12:00	7.60
	13:00	8.20
	14:00	8.20
	15:00	8.20
	16:00	8.10
	17:00	8.00
	18:00	7.70
	19:00	7.40
	20:00	7.20
	21:00	7.10
	22:00	6.70
	23:00	6.40
Thu, 06/Feb	24:00	6.10
	01:00	5.90
	02:00	5.70
	03:00	5.60
	04:00	5.30
	05:00	5.10
	06:00	5.00
	07:00	5.10
	08:00	5.40
	09:00	5.70
	10:00	6.20
	11:00	6.40
	12:00	7.30
	13:00	7.50
	14:00	7.40
	15:00	7.20
	16:00	7.20
	17:00	7.20
	18:00	7.10
	19:00	6.80
	20:00	6.30
	21:00	6.00
	22:00	5.90
	23:00	6.30
Fri, 07/Feb	24:00	6.30
	01:00	6.50
	02:00	6.50
	03:00	6.40
	04:00	6.30
	05:00	6.10
	06:00	6.00
	07:00	6.00
	08:00	5.30
	09:00	5.90
	10:00	5.50
	11:00	5.70
	12:00	6.30
	13:00	6.20
	14:00	6.10
	15:00	6.70
	16:00	6.10
	17:00	6.10
	18:00	6.00
	19:00	6.10
	20:00	6.10
	21:00	6.20
	22:00	6.10
	23:00	6.10
Sat, 08/Feb	24:00	6.10
	01:00	6.10
	02:00	5.70
	03:00	5.60
	04:00	5.40
	05:00	5.50
	06:00	6.10
	07:00	6.20
	08:00	6.10
	09:00	6.00
	10:00	6.00
	11:00	6.10
	12:00	5.70
	13:00	5.90
	14:00	5.10
	15:00	5.70
	16:00	5.50
	17:00	5.20
	18:00	4.80
	19:00	3.90
	20:00	3.30
	21:00	3.00
	22:00	2.60
	23:00	2.10
Sun, 09/Feb	24:00	1.70
	01:00	1.30
	02:00	1.40
	03:00	1.40
	04:00	1.00
	05:00	0.60
	06:00	0.30
	07:00	0.30
	08:00	0.80
	09:00	1.20
	10:00	2.20
	11:00	3.30
	12:00	3.90
	13:00	5.00
	14:00	5.10
	15:00	4.70
	16:00	4.80
	17:00	4.80
	18:00	4.80
	19:00	4.70
	20:00	4.60
	21:00	4.40
	22:00	4.40
	23:00	4.40
Mon, 10/Feb	24:00	4.30
	01:00	4.60
	02:00	4.60
	03:00	4.30
	04:00	4.60
	05:00	5.00
	06:00	5.30
	07:00	5.60
	08:00	5.60
	09:00	5.70
	10:00	6.00
	11:00	6.30
	12:00	6.60
	13:00	7.00
	14:00	7.10
	15:00	7.30
	16:00	7.50
	17:00	7.40
	18:00	7.30
	19:00	7.20
	20:00	6.90
	21:00	6.60
	22:00	6.10
	23:00	6.00
Tue, 11/Feb	24:00	5.90
	01:00	5.80
	02:00	5.70
	03:00	5.60
	04:00	5.40
	05:00	5.30
	06:00	5.40
	07:00	5.20
	08:00	5.30
	09:00	5.60
	10:00	5.80
	11:00	5.90
	12:00	6.10
	13:00	6.10
	14:00	6.50
	15:00	6.60
	16:00	6.50
	17:00	6.30
	18:00	6.20
	19:00	6.20
	20:00	6.10
	21:00	6.10
	22:00	6.10
	23:00	6.10
Wed, 12/Feb	24:00	6.10
	01:00	6.10
	02:00	5.10
	03:00	4.00
	04:00	3.30
	05:00	3.70
	06:00	3.60
	07:00	4.30
	08:00	5.00
	09:00	5.90
	10:00	7.00
	11:00	8.20
	12:00	9.60
	13:00	10.40
	14:00	10.50
	15:00	9.90
	16:00	9.10
	17:00	8.80
	18:00	8.70
	19:00	8.20
	20:00	8.20
	21:00	8.00
	22:00	7.90
	23:00	7.70
Thu, 13/Feb	24:00	7.80
	01:00	8.10
	02:00	8.40
	03:00	8.50
	04:00	8.70
	05:00	8.60
	06:00	8.50
	07:00	6.70
	08:00	6.20
	09:00	6.60
	10:00	6.60
	11:00	6.30
	12:00	6.40
	13:00	6.90
	14:00	6.90
	15:00	6.80
	16:00	6.60
	17:00	6.20
	18:00	6.10
	19:00	5.90
	20:00	5.90
	21:00	5.70
	22:00	6.00
	23:00	5.80
Fri, 14/Feb	24:00	5.80
	01:00	5.20
	02:00	4.70
	03:00	4.20
	04:00	3.20
	05:00	2.30
	06:00	1.60
	07:00	1.30
	08:00	1.10
	09:00	1.60
	10:00	2.50
	11:00	3.20
	12:00	3.90
	13:00	4.30
	14:00	4.70
	15:00	4.70
	16:00	4.40
	17:00	3.70
	18:00	3.10
	19:00	2.70
	20:00	2.90
	21:00	2.90
	22:00	2.70
	23:00	2.70
Sat, 15/Feb	24:00	2.50
	01:00	1.80
	02:00	1.10
	03:00	0.80
	04:00	1.30
	05:00	1.80
	06:00	2.60
	07:00	2.80
	08:00	3.10
	09:00	3.90
	10:00	4.80
	11:00	5.80
	12:00	6.40
	13:00	6.60
	14:00	6.30
	15:00	6.50
	16:00	6.40
	17:00	6.30
	18:00	6.10
	19:00	5.70
	20:00	5.20
	21:00	5.20
	22:00	5.30
	23:00	5.20
Sun, 16/Feb	24:00	5.10
	01:00	5.00
	02:00	4.80
	03:00	4.70
	04:00	4.30
	05:00	4.20
	06:00	4.10
	07:00	3.70
	08:00	3.90
	09:00	4.30
	10:00	5.20
	11:00	5.80
	12:00	6.10
	13:00	6.90
	14:00	6.90
	15:00	7.00
	16:00	7.20
	17:00	6.90
	18:00	6.70
	19:00	6.60
	20:00	6.20
	21:00	5.80
	22:00	5.80
	23:00	6.10
Mon, 17/Feb	24:00	6.10
	01:00	6.00
	02:00	5.50
	03:00	5.40
	04:00	5.50
	05:00	5.70
	06:00	5.70
	07:00	4.20
	08:00	3.20
	09:00	3.10
	10:00	3.50
	11:00	4.10
	12:00	4.00
	13:00	4.10
	14:00	3.20
	15:00	3.20
	16:00	3.00
	17:00	2.50
	18:00	2.20
	19:00	1.60
	20:00	1.40
	21:00	1.10
	22:00	0.70
	23:00	0.50
Tue, 18/Feb	24:00	0.40
	01:00	0.70
	02:00	0.70
	03:00	0.50
	04:00	0.40
	05:00	0.80
	06:00	1.10
	07:00	1.10
	08:00	1.10
	09:00	1.60
	10:00	2.20
	11:00	2.50
	12:00	2.80
	13:00	3.10
	14:00	3.00
	15:00	3.20
	16:00	2.90
	17:00	2.30
	18:00	1.70
	19:00	1.60
	20:00	1.40
	21:00	1.60
	22:00	1.40
	23:00	1.40
Wed, 19/Feb	24:00	1.30
	01:00	1.40
	02:00	1.40
	03:00	1.70
	04:00	2.00
	05:00	2.60
	06:00	4.40
	07:00	4.50
	08:00	4.60
	09:00	4.90
	10:00	5.00
	11:00	4.90
	12:00	5.40
	13:00	5.20
	14:00	4.60
	15:00	3.70
	16:00	3.70
	17:00	3.60
	18:00	3.10
	19:00	3.40
	20:00	3.00
	21:00	2.20
	22:00	2.30
	23:00	2.30
Thu, 20/Feb	24:00	2.20
	01:00	2.10
	02:00	2.10
	03:00	1.90
	04:00	1.90
	05:00	1.70
	06:00	1.10
	07:00	0.40
	08:00	0.60
	09:00	1.20
	10:00	1.00
	11:00	1.70
	12:00	1.50
	13:00	1.60
	14:00	1.90
	15:00	1.60
	16:00	1.30
	17:00	1.10
	18:00	1.30
	19:00	1.20
	20:00	1.10
	21:00	1.10
	22:00	1.00
	23:00	1.10
Fri, 21/Feb	24:00	1.10
	01:00	1.10
	02:00	1.10
	03:00	1.20
	04:00	1.10
	05:00	1.10
	06:00	1.00
	07:00	1.10
	08:00	1.10
	09:00	1.10
	10:00	1.00
	11:00	1.30
	12:00	2.10
	13:00	2.30
	14:00	2.50
	15:00	2.50
	16:00	2.10
	17:00	1.90
	18:00	1.80
	19:00	1.80
	20:00	1.90
	21:00	2.10
	22:00	1.80
	23:00	1.90
Sat, 22/Feb	24:00	1.80
	01:00	1.70
	02:00	1.70
	03:00	1.70
	04:00	1.60
	05:00	1.70
	06:00	1.80
	07:00	1.80
	08:00	2.00
	09:00	2.80
	10:00	3.80
	11:00	4.40
	12:00	5.10
	13:00	5.30
	14:00	5.20
	15:00	5.40
	16:00	5.10
	17:00	4.90
	18:00	4.90
	19:00	4.80
	20:00	4.80
	21:00	4.70
	22:00	4.20
	23:00	4.00
Sun, 23/Feb	24:00	3.80
	01:00	3.60
	02:00	3.50
	03:00	3.40
	04:00	3.30
	05:00	3.20
	06:00	3.20
	07:00	3.10
	08:00	3.30
	09:00	3.50
	10:00	4.10
	11:00	4.60
	12:00	4.90
	13:00	5.00
	14:00	4.90
	15:00	5.10
	16:00	5.00
	17:00	5.00
	18:00	4.80
	19:00	4.60
	20:00	4.50
	21:00	4.60
	22:00	4.50
	23:00	4.40
Mon, 24/Feb	24:00	4.20
	01:00	3.90
	02:00	3.90
	03:00	3.80
	04:00	3.60
	05:00	3.40
	06:00	3.30
	07:00	3.20
	08:00	3.50
	09:00	4.10
	10:00	4.80
	11:00	5.20
	12:00	5.20
	13:00	4.90
	14:00	5.20
	15:00	5.80
	16:00	4.70
	17:00	4.10
	18:00	3.90
	19:00	3.60
	20:00	3.30
	21:00	2.80
	22:00	2.10
	23:00	1.50
Tue, 25/Feb	24:00	0.90
	01:00	0.70
	02:00	0.20
	03:00	-0.20
	04:00	-0.80
	05:00	-0.80
	06:00	-0.20
	07:00	0.10
	08:00	0.60
	09:00	1.30
	10:00	2.70
	11:00	3.40
	12:00	4.70
	13:00	5.50
	14:00	5.50
	15:00	4.70
	16:00	4.90
	17:00	4.90
	18:00	4.60
	19:00	4.30
	20:00	4.10
	21:00	3.80
	22:00	3.60
	23:00	3.40
Wed, 26/Feb	24:00	3.00
	01:00	2.60
	02:00	2.60
	03:00	2.50
	04:00	2.00
	05:00	1.30
	06:00	0.90
	07:00	0.90
	08:00	1.60
	09:00	2.30
	10:00	3.30
	11:00	4.00
	12:00	4.20
	13:00	4.30
	14:00	5.30
	15:00	6.10
	16:00	5.80
	17:00	5.40
	18:00	4.90
	19:00	4.10
	20:00	3.30
	21:00	2.60
	22:00	2.00
	23:00	1.90
Thu, 27/Feb	24:00	1.10
	01:00	0.70
	02:00	0.20
	03:00	0.10
	04:00	0.10
	05:00	0.10
	06:00	0.30
	07:00	0.00
	08:00	0.40
	09:00	1.10
	10:00	2.20
	11:00	3.80
	12:00	5.10
	13:00	5.20
	14:00	5.20
	15:00	5.30
	16:00	5.10
	17:00	4.80
	18:00	4.70
	19:00	4.40
	20:00	3.70
	21:00	3.90
	22:00	3.80
	23:00	3.50
Fri, 28/Feb	24:00	3.30
	01:00	3.10
	02:00	3.10
	03:00	2.90
	04:00	2.90
	05:00	2.90
	06:00	1.90
	07:00	1.80
	08:00	1.90
	09:00	2.90
	10:00	4.40
	11:00	5.20
	12:00	5.70
	13:00	5.80
	14:00	5.90
	15:00	5.80
	16:00	5.60
	17:00	5.10
	18:00	4.80
	19:00	4.40
	20:00	3.80
	21:00	3.30
	22:00	3.00
	23:00	2.50
Sat, 01/Mar	24:00	2.60
	01:00	2.60
	02:00	1.90
	03:00	1.80
	04:00	1.50
	05:00	1.60
	06:00	1.70
	07:00	2.10
	08:00	2.30
	09:00	2.90
	10:00	3.10
	11:00	3.30
	12:00	3.90
	13:00	4.70
	14:00	3.60
	15:00	3.10
	16:00	2.30
	17:00	2.10
	18:00	1.30
	19:00	1.00
	20:00	0.10
	21:00	-0.40
	22:00	-0.90
	23:00	-1.30
Sun, 02/Mar	24:00	-1.70
	01:00	-2.00
	02:00	-2.60
	03:00	-2.90
	04:00	-3.00
	05:00	-3.20
	06:00	-3.50
	07:00	-3.30
	08:00	-2.90
	09:00	-1.50
	10:00	-0.60
	11:00	0.00
	12:00	0.80
	13:00	-1.10
	14:00	0.30
	15:00	0.10
	16:00	0.00
	17:00	-0.60
	18:00	-0.90
	19:00	-1.20
	20:00	-1.30
	21:00	-1.10
